NOMBRE ENTIDAD,TIPO ENTIDAD,FECHA CORTE,ESTADO FINANCIERO,CODIGO CUENTA,DESCRIPCION,SALDO,MONEDA
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ROA,ROA,0.016318712925403277,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ROE,ROE,0.07072214034954727,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9356379129363205,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.8177805128414836,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,0.03872850387486656,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.48800473143563133,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.02049898545017174,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0842,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.2188,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.516478562406168,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,PROPORTIONAL_SUPERVISION,Aplica Supervisión Proporcional,0,CRC
COOPE EMPLEADOS AYA R.L.,Sin clasificar,2026-07-30,Indicadores financieros,STATE_GUARANTEE,Garantía del Estado,0,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,MARGIN_INTERMEDIATION,Margen de Interm Financiera,0.050613483568656886,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ROA,ROA,0.010047378090716154,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ROE,ROE,0.05938994308438981,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,CURRENT_PORTFOLIO,Cartera de crédito al día,0.9604806666742995,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,COVERAGE_ARREARS,Cobertura de cartera en atraso,0.42711000193199283,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,DELINQUENCY_90,Morosidad >90d y cobro judicial / Cartera Directa,1,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,OPERATING_EFFICIENCY,Eficiencia Operativa,0.7707314502858716,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,ADMIN_EXPENSE_ASSETS,Gasto administrativo sobre activos,0.039661008462211524,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,EQUITY_COMMITMENT,Compromiso Patrimonial,-0.0347,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,CAPITAL_ADEQUACY,Suficiencia Patrimonial,0.2294,CRC
COOPE SAN MARCOS R.L.,Sin clasificar,2026-07-30,Indicadores financieros,LIQUIDITY_COVERAGE,Disponibilidades e Inversiones disponibles / Obligaciones público,0.6960466378425026,CRC
